,portfolio_value,returns
2020-02-26 10:00:00+00:00,94827.79558346601,-0.00022614834591538902
2020-02-27 10:00:00+00:00,95047.24558346602,0.0023141948903246945
2020-02-28 10:00:00+00:00,95609.89558346602,0.005919687588483713
2020-03-02 10:00:00+00:00,96175.84558346601,0.005919366364184775
2020-03-03 10:00:00+00:00,96080.14558346602,-0.0009950523379276266
2020-03-04 10:00:00+00:00,96268.24558346602,0.0019577405806137094
2020-03-05 10:00:00+00:00,96172.54558346601,-0.000994097268730454
2020-03-06 10:00:00+00:00,96767.94558346088,0.006190956019544558
2020-03-09 10:00:00+00:00,97416.34558344157,0.0067005659371104365
2020-03-11 10:00:00+00:00,97738.34558344157,0.003305400116084156
2020-03-12 10:00:00+00:00,98940.84558341511,0.012303257158644332
2020-03-13 10:00:00+00:00,96935.29558241264,-0.020270192650735264
2020-03-16 10:00:00+00:00,98126.59558241264,0.012289641176027377
2020-03-17 10:00:00+00:00,98665.24558241264,0.005489337491053625
2020-03-18 10:00:00+00:00,98582.59558241264,-0.000837680983938438
2020-03-19 10:00:00+00:00,99280.84558241264,0.0070828932417008605
2020-03-20 10:00:00+00:00,98955.94558241263,-0.003272534576977515
2020-03-23 10:00:00+00:00,100486.39558241263,0.015465973176168601
2020-03-24 10:00:00+00:00,100289.74558241264,-0.0019569813292658056
2020-03-25 10:00:00+00:00,99999.04558241264,-0.002898601430403658
2020-03-26 10:00:00+00:00,99833.74558241264,-0.0016530157766734277
2020-03-27 10:00:00+00:00,99733.99558241264,-0.0009991611495500097
2020-03-30 10:00:00+00:00,100212.79558241264,0.004800770260972254
2020-03-31 10:00:00+00:00,99685.54558241264,-0.005261304177133663
2020-04-01 10:00:00+00:00,100204.24558241264,0.005203362202308215
2020-04-03 10:00:00+00:00,100819.84558241264,0.006143452270130689
2020-04-07 10:00:00+00:00,100269.79558241264,-0.005455771101636642
2020-04-08 10:00:00+00:00,100437.94558241263,0.0016769755939294306
2020-04-09 10:00:00+00:00,100167.19558241263,-0.0026956943257847588
2020-04-13 10:00:00+00:00,100369.54558241264,0.00202012244451355
2020-04-15 10:00:00+00:00,100426.54558241264,0.0005679013456645343
2020-04-16 10:00:00+00:00,100081.69558241263,-0.0034338530515022336
2020-04-17 10:00:00+00:00,99856.54558241264,-0.0022496621254244342
2020-04-20 10:00:00+00:00,99907.84558241264,0.0005137369783903001
2020-04-21 10:00:00+00:00,100315.39558241263,0.004079259217573794
2020-04-22 10:00:00+00:00,100150.09558241264,-0.0016478029024387109
2020-04-23 10:00:00+00:00,100244.14558241263,0.0009390904666943811
2020-04-24 10:00:00+00:00,100591.84558241264,0.003468531732999658
2020-04-27 10:00:00+00:00,100540.54558241264,-0.0005099816958619163
2020-04-28 10:00:00+00:00,100341.04558241264,-0.0019842740940416714
2020-04-29 10:00:00+00:00,100053.19558241263,-0.002868716369549662
2020-04-30 10:00:00+00:00,100024.69558241263,-0.0002848484731955425
2020-05-04 10:00:00+00:00,100645.99558241264,0.006211466042284508
2020-05-05 10:00:00+00:00,101099.14558241263,0.0045024146005783194
2020-05-06 10:00:00+00:00,101034.14558235621,-0.0006429332283863776
2020-05-07 10:00:00+00:00,101093.9955823562,0.0005923739905457914
2020-05-08 10:00:00+00:00,101349.14558235621,0.002523888768370508
2020-05-11 10:00:00+00:00,101456.2455823562,0.001056742998518434
2020-05-12 10:00:00+00:00,101342.84558235621,-0.0011177232052012043
2020-05-13 10:00:00+00:00,100873.4955823562,-0.00463130867603867
2020-05-14 10:00:00+00:00,101264.09558235621,0.0038721767075189373
2020-05-15 10:00:00+00:00,101377.4955823562,0.0011198441002000514
2020-05-18 10:00:00+00:00,102070.4955823562,0.006835836652100413
2020-05-19 10:00:00+00:00,102221.69558235622,0.0014813291454824906
2020-05-20 10:00:00+00:00,102180.7455823562,-0.00040059988994245455
2020-05-21 10:00:00+00:00,102290.9955823562,0.0010789704006528567
2020-05-22 10:00:00+00:00,102347.69558235622,0.0005543009888331341
2020-05-26 10:00:00+00:00,102313.04558235621,-0.00033855183355957497
2020-05-27 10:00:00+00:00,101859.44558235622,-0.0044334522290697675
2020-05-28 10:00:00+00:00,101916.14558235621,0.0005566494071886918
2020-05-29 10:00:00+00:00,101708.2455823562,-0.0020399123103808092
2020-06-01 10:00:00+00:00,101153.84558235621,-0.005450885489427515
2020-06-02 10:00:00+00:00,101119.19558235622,-0.00034254753045226405
2020-06-03 10:00:00+00:00,100851.44558235622,-0.0026478652095478505
2020-06-04 10:00:00+00:00,100870.34558235621,0.00018740435390718346
2020-06-05 10:00:00+00:00,99941.09558235621,-0.009212320971392907
2020-06-08 10:00:00+00:00,99105.94544530808,-0.00835642367318179
2020-06-09 10:00:00+00:00,98973.44544530808,-0.001336953089995152
2020-06-10 10:00:00+00:00,99230.49544530809,0.002597161277385629
2020-06-11 10:00:00+00:00,98613.04544530809,-0.0062223815091229095
