,transaction_str,txn_id
52,"[{'amount': -1, 'dt': Timestamp('2016-03-17 04:16:00+0000', tz='UTC'), 'price': 188.49999999840816, 'order_id': 'fead3b25f71a48fe846a48b9227b6242', 'sid': Equity(7 [SBIN]), 'commission': None}]",52
53,[],53
54,"[{'amount': -5, 'dt': Timestamp('2016-03-21 04:16:00+0000', tz='UTC'), 'price': 86.74999892338336, 'order_id': '61a6f6e2e2014c7889f6949f7f899a53', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -1, 'dt': Timestamp('2016-03-21 04:16:00+0000', tz='UTC'), 'price': 193.89999999319613, 'order_id': '2f7dfe207bb7426fa09acdc8b7e2039f', 'sid': Equity(7 [SBIN]), 'commission': None}]",54
55,"[{'amount': 1, 'dt': Timestamp('2016-03-22 04:16:00+0000', tz='UTC'), 'price': 86.05000001051566, 'order_id': '673a7876957d422396518a591f78f058', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -1, 'dt': Timestamp('2016-03-22 04:16:00+0000', tz='UTC'), 'price': 195.59999999006985, 'order_id': 'e4cbced0c7124fb4a6bb396e6b1ca07e', 'sid': Equity(7 [SBIN]), 'commission': None}]",55
56,"[{'amount': -6, 'dt': Timestamp('2016-03-23 04:16:00+0000', tz='UTC'), 'price': 90.5499999670643, 'order_id': '06033d8f743844c4a7bbdeecae93ba93', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",56
57,"[{'amount': 1, 'dt': Timestamp('2016-03-28 04:16:00+0000', tz='UTC'), 'price': 89.35000000730808, 'order_id': 'fc21cfe6944743d1a4efe3200d63c982', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",57
58,"[{'amount': 5, 'dt': Timestamp('2016-03-29 04:16:00+0000', tz='UTC'), 'price': 85.3500000749959, 'order_id': '40be7c92436d4ab8a452a050c6d4f495', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",58
59,[],59
60,"[{'amount': -1, 'dt': Timestamp('2016-03-31 04:16:00+0000', tz='UTC'), 'price': 86.64999998274004, 'order_id': '1707896c90234d45b99e0acc1effa384', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",60
61,"[{'amount': -1, 'dt': Timestamp('2016-04-01 04:16:00+0000', tz='UTC'), 'price': 86.99999997701671, 'order_id': '81195b58199e4a5988da9a62d983b23f', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",61
62,"[{'amount': -1, 'dt': Timestamp('2016-04-04 04:16:00+0000', tz='UTC'), 'price': 87.8499999359449, 'order_id': '1a7c4ad3d41d437d9cc1c7fd7a39bbed', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",62
63,[],63
