,period_open,period_close,longs_count,portfolio_value,ending_cash,starting_cash,ending_value,starting_value,net_leverage,gross_leverage,ending_exposure,returns,short_exposure,starting_exposure,long_exposure,positions,transactions,short_value,orders,capital_used,pnl,long_value,shorts_count,pipeline_rows,selected_cnt,pipeline_size,invested,leverage,pos_cnt,excess_return,max_leverage,max_drawdown,sortino,period_label,sharpe,alpha,beta,trading_days,algorithm_period_return,treasury_period_return,benchmark_period_return,benchmark_volatility,algo_volatility
2024-06-03 10:00:00+00:00,2024-06-03 03:46:00+00:00,2024-06-03 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-06,,0.0,0.0,71,0.0,0.0,0.9062434952179581,0.43793403328631086,0.0
2024-06-04 10:00:00+00:00,2024-06-04 03:46:00+00:00,2024-06-04 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-06,,0.0,0.0,72,0.0,0.0,0.6832349171222296,0.49504928174528173,0.0
2024-06-05 10:00:00+00:00,2024-06-05 03:46:00+00:00,2024-06-05 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-06,,0.0,0.0,73,0.0,0.0,0.7148522661291206,0.49202796964728246,0.0
2024-06-06 10:00:00+00:00,2024-06-06 03:46:00+00:00,2024-06-06 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-06,,0.0,0.0,74,0.0,0.0,0.7519911480187118,0.48930680158952916,0.0
2024-06-07 10:00:00+00:00,2024-06-07 03:46:00+00:00,2024-06-07 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-06,,0.0,0.0,75,0.0,0.0,0.7638449150406994,0.48599531528125944,0.0
2024-06-10 10:00:00+00:00,2024-06-10 03:46:00+00:00,2024-06-10 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-06,,0.0,0.0,76,0.0,0.0,0.7734637758958796,0.48276769003661546,0.0
2024-06-11 10:00:00+00:00,2024-06-11 03:46:00+00:00,2024-06-11 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-06,,0.0,0.0,77,0.0,0.0,0.7732446674481535,0.4798072499837573,0.0
2024-06-12 10:00:00+00:00,2024-06-12 03:46:00+00:00,2024-06-12 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-06,,0.0,0.0,78,0.0,0.0,0.8142179471729531,0.47746302273847574,0.0
2024-06-13 10:00:00+00:00,2024-06-13 03:46:00+00:00,2024-06-13 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-06,,0.0,0.0,79,0.0,0.0,0.8499326241523242,0.47484294316984316,0.0
2024-06-14 10:00:00+00:00,2024-06-14 03:46:00+00:00,2024-06-14 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-06,,0.0,0.0,80,0.0,0.0,0.9787683914153311,0.48424447561478867,0.0
